ID,probability
TEST_00000,0.0007403536
TEST_00001,0.0006415589
TEST_00002,0.12794763
TEST_00003,0.09759449
TEST_00004,0.48266903
TEST_00005,0.146171
TEST_00006,0.5540128
TEST_00007,0.37108853
TEST_00008,0.20240733
TEST_00009,0.00033837513
TEST_00010,0.050712552
TEST_00011,0.45393097
TEST_00012,0.37854996
TEST_00013,0.38220376
TEST_00014,0.2834898
TEST_00015,0.00056318234
TEST_00016,0.20000759
TEST_00017,0.4394063
TEST_00018,0.15854505
TEST_00019,0.6013733
TEST_00020,0.27419636
TEST_00021,0.4366925
TEST_00022,0.2472637
TEST_00023,0.16192298
TEST_00024,0.43250704
TEST_00025,0.00047943273
TEST_00026,0.08236146
TEST_00027,0.50081486
TEST_00028,0.1627458
TEST_00029,0.14319772
TEST_00030,0.3759355
TEST_00031,0.1632535
TEST_00032,0.15857558
TEST_00033,0.1469907
TEST_00034,0.44281268
TEST_00035,0.00073637906
TEST_00036,0.08447752
TEST_00037,0.2572358
TEST_00038,0.2372506
TEST_00039,0.001524049
TEST_00040,0.19252266
TEST_00041,0.13682783
TEST_00042,0.31881186
TEST_00043,0.31149703
TEST_00044,0.27382013
TEST_00045,0.6627684
TEST_00046,0.6491567
TEST_00047,0.24395712
TEST_00048,0.1048624
TEST_00049,0.4684398
TEST_00050,0.25739038
TEST_00051,0.31503323
TEST_00052,0.06007861
TEST_00053,0.5259536
TEST_00054,0.0012515003
TEST_00055,0.46097383
TEST_00056,0.33437514
TEST_00057,0.18780704
TEST_00058,0.5740732
TEST_00059,0.12194871
TEST_00060,0.001634332
TEST_00061,0.11950431
TEST_00062,0.23051204
TEST_00063,0.3201909
TEST_00064,0.22593206
TEST_00065,0.0008148728
TEST_00066,0.23174563
TEST_00067,0.23080876
TEST_00068,0.2942655
TEST_00069,0.49861872
TEST_00070,0.43414852
TEST_00071,0.32870197
TEST_00072,0.2330057
TEST_00073,0.2346584
TEST_00074,0.14565231
TEST_00075,0.22913413
TEST_00076,0.012844803
TEST_00077,0.00096459314
TEST_00078,0.17009057
TEST_00079,0.16831712
TEST_00080,0.42289105
TEST_00081,0.0003468025
TEST_00082,0.2495624
TEST_00083,0.18082158
TEST_00084,0.49144208
TEST_00085,0.45442435
TEST_00086,0.00047878356
TEST_00087,0.4025742
TEST_00088,0.058579993
TEST_00089,0.3913214
TEST_00090,0.21300566
TEST_00091,0.06584841
TEST_00092,0.16336268
TEST_00093,0.54247123
TEST_00094,0.00035238938
TEST_00095,0.00030804984
TEST_00096,0.39973342
TEST_00097,0.10401683
TEST_00098,0.34819332
TEST_00099,0.26505882
TEST_00100,0.029594831
TEST_00101,0.18543747
TEST_00102,0.41843796
TEST_00103,0.34797165
TEST_00104,0.29770157
TEST_00105,0.5868693
TEST_00106,0.30454874
TEST_00107,0.0007602684
TEST_00108,0.33261395
TEST_00109,0.001020299
TEST_00110,0.4181005
TEST_00111,0.33358806
TEST_00112,0.010095479
TEST_00113,0.35992518
TEST_00114,0.16780408
TEST_00115,0.43049508
TEST_00116,0.0010111058
TEST_00117,0.46202356
TEST_00118,0.33013168
TEST_00119,0.09042389
TEST_00120,0.00069470855
TEST_00121,0.00044250936
TEST_00122,0.2605729
TEST_00123,0.60932165
TEST_00124,0.4679768
TEST_00125,0.30268273
TEST_00126,0.0026633928
TEST_00127,0.024550067
TEST_00128,0.29921886
TEST_00129,0.4997518
TEST_00130,0.16491377
TEST_00131,0.45020914
TEST_00132,0.0004980521
TEST_00133,0.2597079
TEST_00134,0.43356186
TEST_00135,0.00026080114
TEST_00136,0.12070155
TEST_00137,0.21000387
TEST_00138,0.05671033
TEST_00139,0.20343539
TEST_00140,0.013081819
TEST_00141,0.0009223845
TEST_00142,0.3376981
TEST_00143,0.00057757675
TEST_00144,0.11291029
TEST_00145,0.46960828
TEST_00146,0.14167906
TEST_00147,0.25049114
TEST_00148,0.25737238
TEST_00149,0.35432413
TEST_00150,0.00078106235
TEST_00151,0.00074723427
TEST_00152,0.22658402
TEST_00153,0.22187881
TEST_00154,0.01892873
TEST_00155,0.24452528
TEST_00156,0.5017389
TEST_00157,0.3925663
TEST_00158,0.5649316
TEST_00159,0.35736534
TEST_00160,0.50637805
TEST_00161,0.46541208
TEST_00162,0.23732343
TEST_00163,0.0045105545
TEST_00164,0.6176764
TEST_00165,0.26805344
TEST_00166,0.37615228
TEST_00167,0.1975081
TEST_00168,0.38246346
TEST_00169,0.20086199
TEST_00170,0.19914964
TEST_00171,0.24701887
TEST_00172,0.20031263
TEST_00173,0.26292676
TEST_00174,0.12886046
TEST_00175,0.23330681
TEST_00176,0.39996335
TEST_00177,0.15843552
TEST_00178,0.33596548
TEST_00179,0.33013248
TEST_00180,0.46454012
TEST_00181,0.47218892
TEST_00182,0.1607537
TEST_00183,0.5540272
TEST_00184,0.12629128
TEST_00185,0.21442121
TEST_00186,0.29566446
TEST_00187,0.2627784
TEST_00188,0.2801382
TEST_00189,0.2547881
TEST_00190,0.4922166
TEST_00191,0.26187858
TEST_00192,0.24880277
TEST_00193,0.035713356
TEST_00194,0.6732719
TEST_00195,0.46113753
TEST_00196,0.46987212
TEST_00197,0.2961348
TEST_00198,0.19397418
TEST_00199,0.41749513
TEST_00200,0.5505979
TEST_00201,0.53650707
TEST_00202,0.3330221
TEST_00203,0.27005267
TEST_00204,0.00041283827
TEST_00205,0.11374033
TEST_00206,0.00085713796
TEST_00207,0.2940986
TEST_00208,0.18894699
TEST_00209,0.34151596
TEST_00210,0.47461987
TEST_00211,0.122421995
TEST_00212,0.19064304
TEST_00213,0.2671936
TEST_00214,0.37631547
TEST_00215,0.21246256
TEST_00216,0.43665922
TEST_00217,0.27145705
