ID,probability
TEST_00000,0.0014582478528802586
TEST_00001,0.006483214115242984
TEST_00002,0.16450202169047534
TEST_00003,0.11549334671079622
TEST_00004,0.5302716657908937
TEST_00005,0.14539941784701854
TEST_00006,0.48216811687119915
TEST_00007,0.40155389793642093
TEST_00008,0.3063789922193836
TEST_00009,0.002006854775015623
TEST_00010,0.05607992669633817
TEST_00011,0.4874914192727047
TEST_00012,0.40636360213660744
TEST_00013,0.4169855178006856
TEST_00014,0.33628668645975507
TEST_00015,0.0028354799655932145
TEST_00016,0.23235569850063287
TEST_00017,0.3937759500894382
TEST_00018,0.24253176075938956
TEST_00019,0.695742142429675
TEST_00020,0.27797109325817926
TEST_00021,0.42318970496202
TEST_00022,0.2970739578433087
TEST_00023,0.23521549513431486
TEST_00024,0.4269588904448661
TEST_00025,0.00293028855710284
TEST_00026,0.13476917411352374
TEST_00027,0.46216887328594514
TEST_00028,0.19666228693297833
TEST_00029,0.20803290156975518
TEST_00030,0.469067725046695
TEST_00031,0.2029938114119788
TEST_00032,0.1841382044464526
TEST_00033,0.1856437683109496
TEST_00034,0.4236309322361903
TEST_00035,0.001622786195087851
TEST_00036,0.15095712809288137
TEST_00037,0.3341851106058307
TEST_00038,0.2536267338436283
TEST_00039,0.003436981154437268
TEST_00040,0.2062046185571979
TEST_00041,0.17101073583633042
TEST_00042,0.3378391275466329
TEST_00043,0.32239564799832854
TEST_00044,0.34007858661673446
TEST_00045,0.5473601705526815
TEST_00046,0.5367269814963713
TEST_00047,0.2484964262193674
TEST_00048,0.1413529090860038
TEST_00049,0.42573327418130924
TEST_00050,0.2915089619831761
TEST_00051,0.1892598457220927
TEST_00052,0.14387647246865332
TEST_00053,0.616884936067952
TEST_00054,0.001436415129650603
TEST_00055,0.4462200661673529
TEST_00056,0.3399496969803475
TEST_00057,0.23446039493791632
TEST_00058,0.5458842261087657
TEST_00059,0.2091542954831667
TEST_00060,0.015573520529330458
TEST_00061,0.18387619631756097
TEST_00062,0.34972216869834805
TEST_00063,0.3521583887279206
TEST_00064,0.2263565062460022
TEST_00065,0.0030981558031800485
TEST_00066,0.29314179210273206
TEST_00067,0.21758339267847093
TEST_00068,0.3125732367905923
TEST_00069,0.4986077075304158
TEST_00070,0.41107247379156997
TEST_00071,0.382544326689477
TEST_00072,0.23973423251448772
TEST_00073,0.271208457553837
TEST_00074,0.1586745266672005
TEST_00075,0.2647386133288271
TEST_00076,0.01776178999233026
TEST_00077,0.0039782691422089725
TEST_00078,0.1471739362761424
TEST_00079,0.23207971852109033
TEST_00080,0.3737158162212914
TEST_00081,0.002934432263412562
TEST_00082,0.23211720827670182
TEST_00083,0.1921119693470968
TEST_00084,0.45542836210013193
TEST_00085,0.4077757892157886
TEST_00086,0.0020526268350529796
TEST_00087,0.4234853143970857
TEST_00088,0.13706756712644885
TEST_00089,0.40010062106895417
TEST_00090,0.260942425219717
TEST_00091,0.10422583262574897
TEST_00092,0.3856997457277033
TEST_00093,0.5839144166669498
TEST_00094,0.0009187410095820832
TEST_00095,0.002684600437119932
TEST_00096,0.4802182433080925
TEST_00097,0.1438577627196741
TEST_00098,0.40649983067879886
TEST_00099,0.28965259772048335
TEST_00100,0.12225408916599778
TEST_00101,0.214972666124657
TEST_00102,0.400078763264469
TEST_00103,0.3114377515550296
TEST_00104,0.38362154386010283
TEST_00105,0.5011024163874549
TEST_00106,0.29012020027367436
TEST_00107,0.0017794651728570922
TEST_00108,0.36236095195662665
TEST_00109,0.0012802022950543126
TEST_00110,0.46050462114824575
TEST_00111,0.3752177369625528
TEST_00112,0.02086313082764576
TEST_00113,0.39485074284693567
TEST_00114,0.2212829922667461
TEST_00115,0.420436063379471
TEST_00116,0.00893142245901745
TEST_00117,0.4871370269460427
TEST_00118,0.3681875290753197
TEST_00119,0.16651332745831443
TEST_00120,0.0030897296762755376
TEST_00121,0.001925236909342458
TEST_00122,0.34691198220098735
TEST_00123,0.534237411864313
TEST_00124,0.44255918789441584
TEST_00125,0.29567467659648927
TEST_00126,0.006602574728084441
TEST_00127,0.07527659596833133
TEST_00128,0.3042408126843985
TEST_00129,0.4363325270659324
TEST_00130,0.2454228382307945
TEST_00131,0.4246401979010447
TEST_00132,0.0016585031761765891
TEST_00133,0.2906383210613447
TEST_00134,0.40531889744380495
TEST_00135,0.001356241762621096
TEST_00136,0.20255455236143474
TEST_00137,0.23568134802689428
TEST_00138,0.08535015496110532
TEST_00139,0.27878843634880546
TEST_00140,0.0195828933825061
TEST_00141,0.0014034468181710609
TEST_00142,0.32865995047046914
TEST_00143,0.004004582480988821
TEST_00144,0.16278635704655103
TEST_00145,0.47348847844780806
TEST_00146,0.19299234830021916
TEST_00147,0.24358897925101025
TEST_00148,0.26518377824317746
TEST_00149,0.4356511746994506
TEST_00150,0.0023830170538295375
TEST_00151,0.0007800920540078939
TEST_00152,0.3813405295966811
TEST_00153,0.3157759615304415
TEST_00154,0.02963657793325147
TEST_00155,0.2555650513008785
TEST_00156,0.3911429252124116
TEST_00157,0.3927710480175252
